tileid,tile_nsky
28814,400
28816,400
28817,400
28818,400
28819,400
28820,400
28821,400
28822,400
28823,400
28824,400
28825,400
28826,400
28827,400
28833,400
28834,400
28835,400
28836,400
28837,400
28838,400
28839,400
28840,400
28841,400
28842,400
28843,400
28844,400
28845,400
28846,400
28854,400
28855,400
28856,400
28857,400
28858,400
28859,400
28860,400
28861,400
28862,400
28863,400
28872,400
28873,400
28874,400
28875,400
28876,400
28887,400
28906,400
28908,407
28910,400
28912,404
28914,400
28916,400
28925,402
28928,400
28929,400
28930,400
28931,400
28935,405
28936,400
28941,400
28944,400
28946,429
28949,400
28951,401
28952,400
28957,400
28959,420
28960,400
28962,400
28964,400
29063,422
29064,432
29065,468
29067,400
29068,506
29069,535
29070,412
29071,405
29072,402
29073,413
29074,435
29075,472
29076,490
29077,510
29078,550
29079,486
29080,439
29081,441
29082,443
29090,433
29091,506
29092,499
29093,475
29094,503
29095,493
29096,456
29097,533
29098,530
29099,493
29100,453
29110,426
29111,429
29112,455
29113,472
29114,511
29115,508
29116,485
29127,453
29128,474
29257,400
29258,400
29259,400
29260,400
29261,400
29262,400
29263,400
29264,400
29265,400
29266,400
29267,400
29268,400
29269,400
29270,400
29280,400
29281,400
29282,400
29283,400
29284,400
29285,400
29286,400
29287,400
29288,400
29289,400
29300,400
29301,400
29302,400
29303,400
29304,400
29305,400
29316,400
29317,400
29318,400
29351,400
29352,463
29353,411
29354,407
29355,524
29356,424
29357,432
29358,441
29359,411
29360,450
29361,443
29362,460
29363,430
29364,481
29365,469
29370,444
29371,466
29372,432
29373,462
29374,480
29375,445
29376,431
29377,524
29378,490
29379,522
29380,455
29381,430
29382,456
29383,543
29384,472
29385,476
29390,446
29391,547
29392,494
29393,486
29394,505
29395,482
29396,570
29397,559
29398,496
29399,451
29400,420
29401,412
29406,417
29407,423
29408,471
29409,422
29410,434
29411,484
29412,690
29413,466
29414,422
29415,423
29420,405
29421,410
29422,466
29423,487
29424,521
29425,515
29426,478
29430,452
29431,502
29432,451
29433,524
29465,434
29538,400
29539,400
29540,400
29541,400
29542,400
29543,400
29544,400
29545,400
29546,400
29547,400
29548,400
29549,400
29550,400
29551,400
29552,400
29553,400
29554,400
29555,400
29556,400
29557,400
29558,400
29559,400
29560,400
29561,400
29562,400
29563,400
29564,400
29565,400
