tileid,tile_nsky
4,400
6,400
7,400
8,400
9,401
10,400
11,400
12,400
13,400
14,400
15,400
16,400
17,400
23,400
24,400
25,400
26,400
27,400
28,400
29,400
30,400
31,400
32,400
33,400
34,400
35,400
36,400
44,400
45,400
46,400
47,400
48,400
49,400
50,400
51,400
52,400
53,400
62,400
63,400
64,400
65,400
66,400
77,400
96,400
98,400
100,400
102,400
104,400
106,400
115,400
118,400
119,400
120,400
121,400
125,400
126,400
131,400
134,400
136,400
139,400
141,400
142,400
147,400
149,400
150,400
152,400
154,400
253,400
254,400
255,400
257,400
258,400
259,400
260,400
261,400
262,400
263,400
264,400
265,401
266,400
267,400
268,400
269,400
270,400
271,400
272,400
280,400
281,400
282,400
283,400
284,400
285,400
286,400
287,400
288,400
289,400
290,400
300,400
301,400
302,400
303,400
304,400
305,400
306,400
317,400
318,400
447,400
448,400
449,400
450,400
451,400
452,400
453,400
454,400
455,400
456,400
457,400
458,400
459,400
460,400
470,400
471,400
472,400
473,400
474,400
475,400
476,400
477,400
478,400
479,400
490,400
491,400
492,400
493,400
494,400
495,400
506,400
507,400
508,400
541,400
542,400
543,400
544,400
545,400
546,400
547,400
548,400
549,400
550,400
551,400
552,400
553,400
554,400
555,400
560,400
561,400
562,400
563,400
564,400
565,400
566,400
567,400
568,400
569,400
570,400
571,400
572,400
573,400
574,400
575,400
580,400
581,400
582,400
583,400
584,400
585,400
586,400
587,400
588,400
589,400
590,400
591,400
596,400
597,400
598,400
599,400
600,400
601,400
602,400
603,400
604,400
605,400
610,400
611,400
612,400
613,400
614,400
615,400
616,400
620,400
621,400
622,400
623,400
655,691
728,400
729,400
730,400
731,400
732,400
733,400
734,402
735,400
736,400
737,400
738,400
739,400
740,400
741,400
742,400
743,400
744,400
745,400
746,400
747,400
748,400
749,400
750,400
751,400
752,400
753,400
754,400
755,400
756,400
757,400
758,400
759,400
760,400
761,400
762,400
763,400
764,400
765,400
766,400
767,400
768,400
769,400
770,400
771,400
772,400
773,400
774,400
775,400
776,400
777,400
778,400
779,400
780,400
781,400
782,400
783,400
784,400
785,400
786,400
787,400
788,400
789,400
790,400
791,400
792,406
793,400
794,400
795,400
796,400
797,400
798,400
799,400
800,400
801,400
802,400
803,400
804,400
805,400
806,400
807,400
808,400
809,400
810,400
811,400
812,400
813,400
814,400
815,400
816,400
817,400
818,400
819,400
820,400
821,400
822,400
823,400
824,400
844,400
864,400
923,400
924,400
925,400
926,400
927,400
928,400
929,400
930,400
931,400
932,400
945,400
946,400
947,400
948,400
949,400
950,400
951,400
952,400
966,400
967,400
968,400
1034,400
1035,400
1053,400
1054,400
1055,400
1069,400
1070,400
1071,400
1072,400
1082,400
1083,400
1084,400
1085,400
1086,400
1092,400
1093,400
1094,400
1095,400
1096,400
1097,400
1099,400
1100,400
1101,400
1102,400
1103,400
1104,400
1105,400
1106,400
1107,400
1108,400
1109,400
1110,400
1111,400
1112,400
1113,400
1114,400
1115,400
1116,400
1117,400
1118,400
1119,400
1120,400
1121,400
1122,400
1123,400
1124,400
1125,400
1126,400
1127,400
1128,400
1129,400
1130,400
1131,400
1132,400
1133,400
1134,400
1135,400
1136,400
1137,400
1138,400
1139,400
1140,400
1141,400
1142,400
1143,400
1144,400
1145,400
1146,400
1147,400
1148,400
1149,400
1150,400
1151,400
1152,400
1153,400
1154,400
1155,400
1156,400
1157,400
1158,400
1159,400
1160,400
1161,400
1162,400
1163,400
1164,400
1165,400
1166,400
1167,400
1168,400
1169,400
1170,400
1171,400
1172,400
1173,400
1174,400
1175,400
1176,400
1177,400
1178,400
1179,400
1180,400
1181,400
1182,400
1183,400
1184,400
1185,400
1186,400
1187,400
1188,400
1189,400
1190,400
1191,400
1192,400
1193,400
1194,400
1195,400
1196,400
1197,400
1198,400
1199,400
1200,400
1201,400
1202,400
1206,400
1208,400
1209,400
1211,400
1212,400
1213,400
1214,400
1215,400
1216,400
1217,400
1225,400
1226,400
1227,400
1228,400
1229,400
1230,400
1231,400
1232,400
1233,400
1234,400
1235,400
1236,400
1237,400
1238,400
1239,400
1245,400
1246,400
1247,400
1248,400
1249,400
1250,400
1251,400
1252,400
1253,400
1254,400
1255,400
1261,400
1262,400
1263,400
1264,400
1265,400
1266,400
1267,400
1268,400
1269,400
1270,401
1275,400
1276,400
1277,400
1278,400
1279,400
1280,400
1281,400
1282,400
1285,400
1286,400
1287,400
1288,400
1289,400
1290,400
1291,400
1293,400
1294,400
1295,400
1296,400
1297,400
1393,400
1394,420
1395,449
1397,400
1398,400
1399,400
1400,400
1401,400
1402,400
1403,406
1404,400
1405,400
1406,400
1407,400
1408,400
1409,400
1410,407
1411,400
1412,413
1413,462
1414,409
1419,400
1420,406
1421,400
1422,400
1423,400
1424,400
1425,400
1426,400
1427,400
1428,400
1429,400
1430,415
1431,415
1432,413
1433,400
1434,400
1439,400
1440,410
1441,400
1442,400
1443,400
1444,416
1445,410
1446,406
1447,410
1448,400
1449,400
1450,400
1454,400
1455,400
1456,403
1457,400
1458,405
1459,412
1460,400
1461,400
1462,400
1463,400
1464,400
1467,400
1468,400
1469,402
1470,409
1471,400
1472,400
1473,404
1474,400
1476,401
1477,400
1478,400
1479,400
1480,400
1481,400
1482,400
1484,402
1485,718
1486,400
1559,400
1568,400
1569,400
1570,400
1576,400
1577,400
1578,400
1580,400
1581,400
1582,400
1583,400
1584,400
1585,400
1586,400
1587,400
1588,400
1589,400
1590,400
1591,400
1592,400
1593,400
1594,400
1595,400
1596,400
1597,400
1598,400
1599,400
1600,400
1601,400
1602,400
1603,400
1604,400
1605,400
1606,400
1607,400
1608,400
1609,400
1610,400
1611,400
1612,400
1613,400
1614,400
1615,400
1616,400
1617,400
1618,400
1619,400
1620,400
1621,400
1622,400
1623,400
1624,400
1625,400
1626,400
1627,400
1628,400
1629,400
1630,400
1631,400
1632,400
1633,400
1634,400
1635,400
1636,400
1637,400
1638,400
1639,400
1640,400
1641,400
1642,400
1643,400
1644,400
1645,400
1646,400
1647,400
1648,400
1649,400
1650,400
1651,400
1652,400
1653,400
1654,400
1655,400
1656,400
1657,400
1658,400
1659,400
1660,400
1661,400
1662,400
1663,400
1664,400
1665,400
1666,400
1667,400
1668,400
1669,400
1670,400
1671,400
1672,400
1673,400
1674,400
1675,400
1676,400
1677,400
1773,400
1774,402
