tile_nsky,tile_nsky_goodfiber,tile_nsky_badfiber,tile_nlowp,tile_nverylowp,expid,tile_program,tile_ra,tile_dec,tile_days,tile_nsecondary,tile_nsecondary_lowpinit,tile_nsecondary_verylowpinit
820,307,513,85,85,161981,bright,50.093,-14.87,546.3889467592593,334,71,71
796,287,509,112,112,161983,bright,44.948,-6.764,547.3424768518519,318,76,76
796,287,509,112,112,161984,bright,44.948,-6.764,547.3424768518519,318,76,76
803,112,691,4169,4169,161985,backup,79.777,-24.379,219.2563888888889,0,0,0
784,36,748,4186,4186,161986,backup,83.255,-23.286,601.2504166666666,0,0,0
757,15,742,4206,4206,161987,backup,89.496,-24.212,601.2596990740741,0,0,0
643,87,556,602,599,161988,bright,127.123,74.074,573.3522685185185,388,239,237
685,120,565,553,553,161989,bright,134.458,70.687,601.2743634259259,313,202,202
769,199,570,701,701,161990,bright,139.627,67.809,601.2892013888888,354,196,196
785,185,600,66,64,161991,bright,140.521,62.938,601.3057175925926,330,58,56
789,198,591,155,154,161992,bright,140.571,20.403,601.3168171296296,393,99,98
731,157,574,49,49,161993,bright,141.247,10.347,546.5065162037037,294,45,45
670,97,573,436,436,161994,bright,143.891,4.048,601.3485416666666,358,143,143
768,178,590,106,106,161995,bright,145.752,14.055,546.5169097222222,315,54,54
704,139,565,502,502,161996,bright,147.949,9.369,601.368761574074,432,176,176
702,146,556,338,337,161997,bright,149.126,1.365,601.3772106481481,396,124,123
681,122,559,430,428,161998,bright,150.416,-1.714,601.3854976851852,415,155,153
692,155,537,43,43,161999,bright,149.884,4.552,220.34005787037037,366,42,42
778,183,595,431,431,162000,bright,157.261,9.373,601.4043981481482,468,181,181
757,176,581,103,102,162001,bright,153.96,12.465,601.4126388888889,330,62,61
782,212,570,634,633,162002,bright,161.324,10.013,594.4490277777778,411,194,193
789,206,583,442,442,162003,bright,160.007,13.119,601.4278819444445,405,157,157
839,242,597,791,791,162004,bright,171.231,5.737,594.4866782407407,431,246,246
742,147,595,609,609,162005,bright,165.954,6.477,601.4417708333333,466,194,194
861,251,610,539,539,162006,bright,170.062,8.867,601.454837962963,432,212,212
778,219,559,345,344,162007,bright,173.388,8.299,601.4676967592593,394,142,141
778,219,559,345,344,162008,bright,173.388,8.299,601.4676967592593,394,142,141
1648,892,756,3330,3330,162009,backup,172.012,6.879,601.4867013888888,0,0,0
697,141,556,544,543,162010,bright,194.53,8.301,596.5547337962963,474,202,201
864,264,600,193,192,162011,bright,191.328,31.942,601.5317361111111,372,106,105
875,276,599,986,986,162012,bright,196.053,33.667,601.5380902777778,462,263,263
843,251,592,312,312,162013,bright,193.653,36.364,601.543449074074,385,121,121
883,285,598,348,348,162014,bright,195.628,39.317,601.549699074074,458,132,132
866,270,596,348,348,162015,bright,201.053,37.776,601.5545486111112,369,97,97
837,241,596,590,587,162016,bright,203.198,34.92,601.5604861111111,487,172,170
813,118,695,4163,4163,162160,backup,121.371,78.937,221.38148148148147,0,0,0
867,173,694,4108,4108,162161,backup,132.269,76.442,221.3930902777778,0,0,0
734,6,728,4216,4216,162162,backup,127.376,-17.884,602.359525462963,0,0,0
713,225,488,345,345,162334,bright,5.815,-1.553,604.0633564814815,426,115,115
768,274,494,973,963,162335,bright,11.635,-2.461,604.0760416666667,522,253,244
736,237,499,955,953,162336,bright,18.095,-0.539,536.2854629629629,507,229,228
680,225,455,500,494,162337,bright,15.758,2.789,547.2275810185185,346,141,135
739,282,457,59,59,162338,tertiary6,35.748,-4.75,601.9408449074074,3840,0,0
768,26,742,101,101,162339,tertiary13,13.45,39.022,553.2975231481481,4099,0,0
765,25,740,105,105,162340,tertiary13,13.388,39.07,553.2984143518519,4101,0,0
765,25,740,105,105,162341,tertiary13,13.388,39.07,553.2984143518519,4101,0,0
783,270,513,233,233,162342,bright,34.663,-12.607,573.2652430555555,340,91,91
820,307,513,85,85,162343,bright,50.093,-14.87,546.3889467592593,334,71,71
713,231,482,645,644,162344,bright,43.334,-1.503,604.183449074074,351,177,177
811,252,559,588,588,162345,bright,50.489,-4.508,547.3571990740741,335,166,166
781,215,566,138,138,162346,bright,53.053,-8.413,540.369537037037,318,56,56
594,137,457,446,445,162347,bright,60.656,-17.221,540.403599537037,357,137,136
729,226,503,98,98,162348,bright,54.736,-12.597,541.2665625,297,55,55
729,226,503,98,98,162349,bright,54.736,-12.597,541.2665625,297,55,55
716,155,561,632,631,162350,bright,157.19,72.929,604.2807986111111,341,177,176
716,155,561,632,631,162351,bright,157.19,72.929,604.2807986111111,341,177,176
692,135,557,451,451,162352,bright,161.189,76.893,604.3146643518519,350,162,162
692,135,557,451,451,162353,bright,161.189,76.893,604.3146643518519,350,162,162
716,125,591,546,546,162354,bright,167.949,71.983,604.3396527777778,370,146,146
716,125,591,546,546,162355,bright,167.949,71.983,604.3396527777778,370,146,146
734,147,587,661,661,162356,bright,174.153,75.547,604.3658564814815,378,206,206
734,147,587,661,661,162357,bright,174.153,75.547,604.3658564814815,378,206,206
787,210,577,1088,1088,162358,bright,174.999,69.275,604.3991203703704,437,247,247
787,210,577,1088,1088,162359,bright,174.999,69.275,604.3991203703704,437,247,247
946,252,694,4019,4019,162360,backup,146.547,76.454,304.1759259259259,0,0,0
1120,367,753,3855,3855,162361,backup,151.219,73.346,604.4328356481482,0,0,0
897,149,748,4073,4073,162362,backup,159.902,-17.721,604.4410763888889,0,0,0
781,193,588,603,603,162363,bright,178.028,4.632,604.4516782407408,552,258,258
932,321,611,606,606,162364,bright,186.596,53.282,582.5552893518518,414,159,159
841,238,603,576,576,162365,bright,182.035,55.298,604.4761111111111,483,151,151
869,287,582,1097,1097,162366,bright,183.467,60.371,604.4852893518519,501,216,216
917,313,604,172,172,162367,bright,185.211,39.992,604.4954513888889,326,89,89
890,294,596,322,322,162368,bright,188.989,37.862,604.5085416666667,346,122,122
879,292,587,517,517,162369,bright,194.367,39.249,604.5167476851852,393,138,138
870,282,588,593,593,162370,bright,192.561,36.129,604.5240046296296,431,194,194
764,213,551,707,705,162371,bright,188.78,6.034,604.5320717592592,546,280,278
759,180,579,377,376,162372,bright,195.589,9.67,604.5430787037037,434,168,168
734,160,574,565,565,162373,bright,201.204,7.37,604.5532291666667,462,225,225
1731,993,738,3237,3237,162469,backup,25.475,-3.549,518.300625,0,0,0
747,200,547,840,835,162471,bright,9.659,4.448,605.0653356481481,441,220,215
749,252,497,58,58,162472,bright,13.28,-6.427,605.0719097222222,410,55,55
515,62,453,256,224,162473,dark,23.476,1.58,223.14493055555556,554,58,57
515,62,453,256,224,162474,dark,23.476,1.58,223.14493055555556,554,58,57
838,275,563,457,457,162475,bright,27.024,6.149,546.2712268518519,329,140,140
714,243,471,861,861,162476,bright,28.81,-4.001,573.2691203703704,449,236,236
725,265,460,341,340,162477,bright,29.992,-8.893,573.203738425926,378,116,115
726,244,482,1036,1036,162478,bright,30.09,0.578,536.3386574074074,470,236,236
756,224,532,716,716,162479,bright,36.979,4.713,605.1525115740741,386,210,210
722,211,511,851,849,162480,bright,40.309,4.319,605.1647800925925,365,212,210
727,182,545,145,145,162481,bright,39.137,7.529,605.1760300925926,301,56,56
796,287,509,112,112,162482,bright,44.948,-6.764,547.3424768518519,318,76,76
565,32,533,226,226,162483,bright,110.762,57.938,605.2134027777778,292,100,100
734,5,729,4219,4219,162484,backup,89.689,-1.684,560.3483796296297,0,0,0
703,20,683,4261,4261,162485,backup,90.946,-14.281,213.3008449074074,0,0,0
678,9,669,4273,4273,162486,backup,100.049,-13.521,207.34921296296295,0,0,0
622,63,559,183,183,162487,bright,121.962,68.22,573.3089120370371,293,87,87
630,67,563,80,80,162488,bright,117.3,61.411,605.2557986111111,284,43,43
652,98,554,285,285,162489,bright,125.831,62.714,605.2707291666667,378,115,115
651,79,572,212,212,162490,bright,128.131,65.901,573.3266319444444,305,86,86
710,133,577,320,320,162491,bright,133.326,62.439,605.3019907407407,434,102,102
710,133,577,320,320,162492,bright,133.326,62.439,605.3019907407407,434,102,102
781,202,579,282,280,162493,bright,140.516,63.611,605.3233449074074,336,109,107
769,199,570,701,701,162494,bright,139.627,67.809,601.2892013888888,354,196,196
